Tenure,Gender,Geography,salary_quantiles,balance_quantiles,age_quantiles,CreditScore,NumOfProducts,HasCrCard,Exited
0,Male,France,second,seventh,third,651,2,0,1
7,Female,France,fourth,third,second,674,1,1,0
7,Male,France,first,first,fifth,617,2,0,0
8,Female,France,first,sixth,fourth,843,1,1,0
7,Female,France,sixth,seventh,fourth,850,1,1,0
4,Male,France,sixth,first,fourth,554,1,0,0
6,Male,France,third,first,sixth,541,2,1,0
5,Female,France,first,first,seventh,637,1,1,1
2,Male,France,sixth,first,sixth,690,2,1,0
7,Female,France,sixth,first,fourth,461,2,1,0
6,Female,France,sixth,sixth,first,510,1,0,0
2,Male,France,first,first,first,631,2,1,0
1,Male,France,fifth,fifth,first,477,1,1,0
2,Male,France,fifth,first,second,685,2,1,0
2,Female,France,second,first,fifth,601,1,1,1
8,Female,France,first,fourth,first,675,1,1,0
4,Female,France,first,third,first,641,2,0,0
4,Female,France,fifth,fourth,second,699,1,1,0
5,Female,France,fifth,first,sixth,703,2,1,0
1,Male,France,sixth,seventh,third,629,1,1,0
9,Male,France,fifth,first,third,786,2,1,0
9,Male,France,sixth,first,seventh,744,2,1,0
1,Female,France,fifth,fourth,third,639,2,1,0
6,Male,France,fourth,first,fourth,724,2,0,0
8,Female,France,third,sixth,third,619,1,1,0
3,Female,France,sixth,first,fifth,850,2,1,0
2,Female,France,fourth,first,second,692,2,1,1
0,Male,France,fourth,fifth,fourth,431,1,1,0
7,Male,France,third,first,sixth,656,2,0,0
9,Female,France,fifth,first,second,612,1,0,1
6,Male,France,fourth,first,sixth,717,2,0,0
5,Male,France,fourth,first,second,496,2,1,0
5,Female,France,second,seventh,first,711,1,0,1
6,Female,France,fourth,first,third,707,1,0,0
5,Male,France,fifth,first,sixth,643,1,1,1
3,Female,France,sixth,first,seventh,792,2,1,0
8,Female,France,seventh,seventh,fourth,660,1,1,0
7,Male,France,fifth,third,seventh,515,1,1,0
8,Male,France,fourth,sixth,third,691,2,1,0
8,Male,France,fourth,first,first,798,2,1,0
2,Female,France,first,sixth,seventh,605,1,1,0
5,Male,France,first,sixth,second,552,1,0,0
6,Female,France,second,fifth,fourth,758,1,0,0
10,Male,France,second,third,fourth,668,1,0,0
8,Male,France,second,first,fourth,583,1,1,0
3,Male,France,first,first,third,628,2,1,0
10,Female,France,fifth,fourth,second,589,1,1,0
0,Female,France,fifth,fifth,sixth,708,2,0,1
2,Male,France,sixth,first,fifth,701,2,1,0
7,Male,France,sixth,first,fifth,850,2,1,0
6,Male,France,second,fourth,fifth,625,2,1,0
5,Female,France,seventh,first,seventh,666,2,1,0
7,Male,France,second,seventh,second,644,1,0,0
7,Male,France,seventh,first,second,731,2,1,0
5,Male,France,second,sixth,second,704,3,1,1
4,Female,France,sixth,first,seventh,728,1,1,1
7,Male,France,second,fifth,fourth,844,1,1,1
1,Female,France,first,fifth,seventh,531,1,0,1
1,Male,France,first,fourth,fourth,519,1,1,0
10,Female,France,second,first,fourth,673,2,1,0
1,Female,France,fifth,first,first,695,2,1,0
4,Female,France,sixth,sixth,first,484,1,1,0
7,Female,France,second,sixth,seventh,650,1,1,1
2,Male,France,seventh,fifth,fourth,556,1,1,0
3,Female,France,fourth,first,second,710,2,1,0
4,Female,France,second,seventh,fourth,478,1,1,1
0,Male,France,fourth,first,first,688,2,1,0
6,Male,France,third,first,fourth,623,2,1,0
6,Female,France,third,first,third,736,1,1,0
2,Male,France,first,fourth,fifth,632,1,1,0
