,tenure,gender,geography,salary_quantiles,age_quantiles,num_products,has_card
0,2,1,0,3,1,2,1
1,6,0,0,3,5,2,1
2,5,1,0,5,6,2,0
3,1,0,0,6,1,1,0
4,5,1,0,5,0,1,1
5,3,0,0,1,2,2,1
6,9,1,0,1,1,2,0
7,4,1,0,5,2,1,0
8,7,1,0,1,1,1,1
9,8,1,0,5,5,2,0
10,6,0,0,4,0,1,1
11,6,0,0,0,4,1,1
12,7,0,0,3,4,1,1
13,5,1,0,2,0,3,1
14,7,1,0,3,2,1,1
15,5,1,0,4,6,2,1
16,4,1,0,6,3,1,1
17,6,0,0,5,5,1,1
18,1,0,0,3,3,1,0
19,7,0,0,3,2,2,1
20,2,1,0,3,1,2,1
21,1,0,0,2,6,1,1
22,8,0,0,6,2,1,1
23,1,1,0,3,2,2,1
24,3,1,0,3,2,2,1
25,3,1,0,6,0,1,1
26,5,1,0,5,4,2,1
27,3,0,0,6,6,2,1
28,1,0,0,5,0,1,1
29,7,0,0,0,5,1,1
30,5,0,0,1,4,1,0
31,1,0,0,0,3,2,1
32,3,0,0,5,0,2,1
33,1,0,0,5,0,1,1
34,5,1,0,2,5,1,1
35,4,1,0,3,1,1,1
36,5,1,0,5,5,2,1
37,4,1,0,1,0,2,1
38,3,1,0,6,1,1,0
39,9,1,0,6,1,1,1
40,4,0,0,1,5,1,1
41,0,0,0,3,4,3,0
42,3,1,0,1,1,2,1
43,7,0,0,0,3,1,1
44,3,1,0,4,0,1,1
45,6,0,0,5,3,2,1
46,5,1,0,3,0,3,0
47,9,0,0,4,2,1,0
48,9,0,0,4,1,2,1
49,8,0,0,5,1,2,1
50,2,0,0,1,1,2,1
51,9,1,0,0,3,1,0
52,4,1,0,1,0,2,1
53,1,1,0,1,2,1,1
54,9,0,0,4,6,1,1
55,6,0,0,2,5,1,1
56,3,0,0,6,3,1,1
57,4,1,0,5,2,2,0
58,5,0,0,5,5,1,1
59,6,0,0,3,2,1,1
60,6,0,0,4,2,2,1
61,6,1,0,3,5,1,1
62,2,1,0,2,6,3,1
63,9,1,0,5,2,1,1
64,7,1,0,3,3,2,0
65,4,1,0,1,0,4,0
66,3,1,0,6,0,1,1
67,10,1,0,6,6,2,1
68,3,0,0,5,1,2,0
69,5,1,0,1,1,1,1
70,5,0,0,5,2,1,1
71,10,0,0,0,2,3,1
72,10,0,0,6,5,1,0
73,7,0,0,4,1,1,0
74,2,1,0,4,2,1,1
75,1,0,0,3,6,1,1
76,3,1,0,1,3,2,0
77,3,0,0,2,0,1,1
78,2,1,0,0,6,1,0
79,8,1,0,6,1,2,1
80,1,0,0,1,3,2,1
81,3,0,0,2,6,1,1
82,7,0,0,6,4,1,1
83,1,1,0,6,2,1,0
84,2,1,0,4,3,1,1
85,4,0,0,5,1,3,1
86,9,1,0,3,5,2,1
87,9,0,0,2,2,1,0
88,10,0,0,4,3,1,0
89,9,0,0,3,3,2,1
90,4,0,0,2,1,2,1
91,4,0,0,0,6,2,0
92,5,1,0,5,6,1,1
93,8,1,0,2,6,1,1
94,4,1,0,3,0,1,1
95,3,0,0,0,6,1,0
96,3,1,0,1,2,1,1
97,9,0,0,6,6,2,1
98,6,0,0,0,5,1,0
99,5,1,0,5,3,2,1
100,3,1,0,4,3,1,1
101,8,0,0,5,1,1,1
102,8,1,0,4,1,2,1
103,8,1,0,2,2,1,1
104,4,1,0,5,2,1,1
105,6,1,0,2,2,2,0
106,6,0,0,2,1,2,0
107,7,1,0,5,0,2,1
108,8,0,0,1,0,1,1
109,6,1,0,4,6,2,0
110,6,1,0,6,0,1,1
111,0,1,0,0,0,1,1
112,10,0,0,3,5,1,1
113,2,1,0,3,5,1,1
114,5,0,0,1,4,2,0
115,9,1,0,2,3,2,1
116,8,0,0,4,0,2,0
117,5,0,0,1,6,2,1
118,1,0,0,3,2,2,1
119,4,1,0,1,1,1,1
120,5,0,0,6,3,2,0
121,5,1,0,3,4,2,1
122,6,1,0,5,3,1,1
123,5,1,0,1,2,2,1
124,2,1,0,4,1,2,1
125,8,0,0,0,1,2,1
126,6,0,0,1,4,1,1
127,6,1,0,0,1,2,0
128,1,0,0,0,3,2,0
129,5,0,0,6,4,1,1
130,10,0,0,6,0,2,1
131,8,0,0,6,5,1,1
132,4,0,0,5,3,1,1
133,3,0,0,5,3,1,1
134,4,1,0,1,1,2,1
135,5,1,0,1,4,2,1
136,5,0,0,1,1,1,1
137,4,0,0,5,4,2,1
138,4,1,0,6,2,2,0
139,5,0,0,5,1,2,1
140,1,0,0,1,2,2,1
141,9,0,0,2,3,1,1
142,3,1,0,5,2,1,1
143,10,1,0,5,1,2,1
144,9,1,0,6,0,2,1
145,9,0,0,6,6,1,1
146,9,0,0,6,5,3,1
147,4,0,0,4,6,1,0
148,1,0,0,1,3,2,1
149,7,1,0,5,6,2,1
150,6,0,0,6,3,2,1
151,6,0,0,4,4,2,0
152,9,0,0,5,2,1,1
153,1,1,0,5,5,1,0
154,9,0,0,2,1,1,1
155,8,1,0,2,2,2,0
156,7,1,0,2,6,2,0
157,8,1,0,1,6,2,1
158,0,0,0,6,1,1,1
159,6,0,0,1,2,1,0
160,3,1,0,0,3,2,0
161,9,1,0,1,0,2,1
162,6,1,0,0,6,2,1
163,2,0,0,4,5,1,0
164,6,0,0,1,6,1,0
165,1,1,0,5,6,1,0
166,8,1,0,4,2,1,1
167,7,0,0,3,0,1,0
168,2,0,0,0,3,2,1
169,4,0,0,6,1,2,0
170,1,0,0,4,1,2,1
171,5,1,0,6,2,2,0
172,4,0,0,4,2,2,0
173,2,0,0,2,5,1,0
174,2,1,0,3,0,2,1
175,4,0,0,1,1,1,1
176,3,0,0,2,2,1,0
177,3,0,0,6,4,2,1
178,8,0,0,1,0,2,1
179,6,1,0,2,0,2,0
180,6,1,0,6,2,1,1
181,5,0,0,3,2,2,1
182,4,1,0,5,6,1,1
183,2,1,0,6,3,1,1
184,7,1,0,4,6,2,1
185,9,1,0,4,5,1,1
186,5,1,0,1,3,2,1
187,2,1,0,4,1,2,1
188,3,0,0,1,4,2,1
189,9,0,0,2,2,2,0
190,5,0,0,5,1,2,0
191,3,1,0,2,5,2,0
192,3,0,0,3,3,1,1
193,0,1,0,3,0,1,1
194,7,1,0,1,0,2,1
195,9,0,0,1,0,2,0
196,3,1,0,3,0,2,1
197,1,1,0,0,0,2,0
198,1,1,0,0,2,1,1
199,9,0,0,1,3,1,1
200,4,1,0,5,4,1,0
201,8,1,0,6,1,1,1
202,3,0,0,3,5,2,1
203,7,1,0,5,2,1,1
204,0,0,0,1,2,1,0
205,6,0,0,3,4,1,1
206,6,0,0,5,2,1,0
207,5,1,0,6,5,2,1
208,5,0,0,0,2,1,0
209,1,1,0,1,5,1,1
210,3,1,0,3,5,2,1
211,5,1,0,2,2,2,0
212,10,1,0,5,2,1,1
213,6,1,0,2,1,2,1
214,7,1,0,0,6,3,1
215,6,1,0,0,4,2,0
216,6,0,0,5,5,4,1
217,1,1,0,0,6,2,0
218,6,0,0,6,1,1,1
219,4,0,0,0,3,2,1
220,3,1,0,0,1,2,1
221,7,0,0,4,2,1,1
222,8,1,0,0,3,2,1
223,2,0,0,2,3,2,1
224,8,1,0,6,2,2,1
225,9,0,0,4,3,1,1
226,9,0,0,0,2,2,1
227,2,0,0,2,1,1,0
228,7,1,0,5,5,2,1
229,9,1,0,2,0,1,1
230,3,1,0,5,5,1,1
231,9,0,0,4,4,1,0
232,6,1,0,3,3,1,1
233,3,1,0,5,3,1,1
234,7,1,0,1,5,1,1
235,5,0,0,4,2,1,0
236,9,0,0,2,4,3,1
237,8,0,0,2,1,2,1
238,3,1,0,0,2,1,0
239,7,1,0,5,5,1,0
240,4,1,0,5,1,1,1
241,8,1,0,5,0,2,1
242,5,1,0,2,2,2,0
243,4,0,0,3,1,1,1
244,9,1,0,1,0,1,0
245,1,0,0,5,1,1,1
246,3,1,0,5,5,2,1
247,6,0,0,1,0,1,1
248,5,0,0,2,5,1,1
249,2,0,0,4,5,1,0
250,10,1,0,6,2,2,0
251,3,1,0,1,4,1,1
252,6,1,0,6,0,1,1
253,4,1,0,0,2,2,1
254,5,1,0,1,1,2,0
255,6,0,0,3,5,2,1
256,5,1,0,3,3,2,0
257,1,1,0,6,6,2,0
258,1,1,0,5,6,2,1
259,7,0,0,4,6,2,1
260,4,1,0,5,5,2,1
261,4,1,0,3,6,2,1
262,8,1,0,3,3,2,1
263,8,0,0,4,3,1,1
264,2,1,0,2,5,2,1
265,1,1,0,3,6,2,1
266,3,0,0,0,6,2,1
267,6,1,0,6,2,2,1
268,7,0,0,4,3,2,0
269,5,0,0,2,0,1,1
270,1,1,0,1,6,2,0
271,4,1,0,6,2,1,1
272,4,0,0,6,3,2,1
273,5,0,0,3,6,2,1
274,2,1,0,4,2,2,1
275,5,1,0,5,2,1,1
276,4,1,0,6,6,2,1
277,10,1,0,5,0,2,0
278,7,0,0,5,1,2,1
279,8,0,0,1,5,1,0
280,5,1,0,0,0,1,1
281,9,0,0,2,2,1,1
282,6,1,0,5,2,2,0
283,7,0,0,5,4,1,1
284,1,1,0,0,4,1,0
285,4,1,0,5,1,2,1
286,3,0,0,2,2,1,1
287,5,1,0,2,3,2,0
288,4,0,0,2,0,3,1
289,2,0,0,2,3,1,0
290,8,1,0,0,0,1,0
291,4,0,0,3,6,2,0
292,3,1,0,6,1,1,0
293,8,1,0,4,1,2,1
294,4,1,0,0,1,1,0
295,7,1,0,2,1,2,1
296,4,1,0,5,3,2,0
297,8,0,0,0,3,1,0
298,6,1,0,2,0,2,1
299,8,0,0,0,6,2,1
300,4,1,0,2,0,1,1
301,2,1,0,6,5,1,1
302,4,1,0,0,4,1,0
303,2,1,0,6,6,1,1
304,8,1,0,6,0,1,0
305,0,1,0,5,3,2,1
306,1,0,0,3,3,1,1
307,6,1,0,3,2,1,1
308,5,1,0,0,6,1,1
309,10,1,0,6,2,2,0
310,8,1,0,0,2,2,0
311,3,1,0,3,3,1,1
312,9,0,0,4,3,1,1
313,3,1,0,2,5,1,1
314,9,1,0,4,0,2,0
315,1,0,0,5,4,1,1
316,5,0,0,4,5,1,0
317,6,0,0,0,5,2,0
318,9,1,0,3,6,1,1
319,3,0,0,1,2,2,0
320,1,1,0,3,3,1,1
321,3,1,0,6,0,2,1
322,8,0,0,0,1,1,1
323,10,0,0,4,1,1,1
324,8,0,0,3,5,2,1
325,1,0,0,4,4,1,1
326,3,1,0,6,3,2,0
327,8,0,0,5,3,2,0
328,4,1,0,6,6,2,0
329,6,1,0,6,6,2,0
330,5,0,0,2,2,2,1
331,5,1,0,2,5,1,0
332,6,0,0,0,3,2,1
333,4,1,0,4,6,1,1
334,4,1,0,3,3,2,1
335,6,0,0,1,1,1,0
336,4,1,0,6,2,2,1
337,5,1,0,5,5,2,1
338,3,1,0,5,1,1,1
339,2,1,0,0,4,1,0
340,3,1,0,2,4,1,1
341,9,1,0,2,0,1,1
342,7,0,0,2,6,1,1
343,4,0,0,5,1,1,0
344,4,0,0,5,0,2,1
345,7,1,0,6,5,2,0
346,6,1,0,0,2,2,1
347,7,1,0,2,3,1,0
348,7,0,0,6,6,1,1
349,8,0,0,1,0,1,0
350,4,1,0,4,5,2,1
351,4,1,0,5,1,1,1
352,2,1,0,1,6,2,0
353,1,0,0,4,2,2,1
354,0,1,0,6,2,2,1
355,5,0,0,0,6,1,1
356,10,0,0,3,4,4,1
357,7,1,0,6,0,1,1
358,9,1,0,5,5,2,0
359,4,1,0,0,2,1,1
360,2,0,0,0,2,2,1
361,9,1,0,6,6,2,1
362,2,1,0,5,1,2,1
363,10,0,0,6,0,2,1
364,8,1,0,3,6,2,0
365,7,1,0,1,1,1,1
366,10,1,0,6,5,1,1
367,7,1,0,4,3,2,1
368,8,1,0,3,3,2,1
369,3,0,0,6,6,2,1
370,8,0,0,2,0,1,0
371,5,1,0,5,5,1,1
372,1,1,0,5,5,1,1
373,2,0,0,1,1,2,0
374,8,1,0,0,5,1,0
375,3,0,0,1,0,2,1
376,5,1,0,3,6,1,0
377,8,0,0,1,2,2,0
378,1,0,0,2,5,1,1
379,4,0,0,0,3,2,1
380,4,0,0,6,0,2,1
381,7,0,0,4,3,1,1
382,5,0,0,2,4,2,0
383,4,1,0,6,5,1,1
384,1,1,0,1,1,2,0
385,5,1,0,4,5,3,1
386,2,0,0,2,6,2,1
387,4,1,0,5,2,1,0
388,9,1,0,0,5,1,1
389,8,0,0,5,1,1,0
