,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
6878,651,France,Male,35,0,181821.96,2,0,1,36923.67
3390,674,France,Female,32,7,85757.93,1,1,1,95481.0
5696,617,France,Male,41,7,0.0,2,0,1,14496.67
4656,843,France,Female,38,8,134887.53,1,1,1,10804.04
1311,850,France,Female,37,7,153147.75,1,1,1,152235.3
2170,554,France,Male,40,4,0.0,1,0,1,168780.04
7639,541,France,Male,46,6,0.0,2,1,1,83456.67
4142,637,France,Female,63,5,0.0,1,1,0,28092.77
8190,690,France,Male,47,2,0.0,2,1,0,151375.73
6765,461,France,Female,40,7,0.0,2,1,0,176547.8
4057,510,France,Female,26,6,136214.08,1,0,0,159742.33
5784,631,France,Male,29,2,0.0,2,1,1,18581.84
3770,477,France,Male,27,1,128554.98,1,1,1,133173.19
8872,685,France,Male,30,2,0.0,2,1,1,140889.32
2098,601,France,Female,43,2,0.0,1,1,0,49713.87
69,675,France,Female,21,8,98373.26,1,1,0,18203.0
2403,641,France,Female,26,4,91547.84,2,0,1,28157.34
7150,699,France,Female,32,4,110559.46,1,1,1,127429.56
3689,703,France,Female,45,5,0.0,2,1,0,131906.44
2631,629,France,Male,35,1,172170.36,1,1,1,159777.37
715,786,France,Male,34,9,0.0,2,1,0,144517.19
8252,744,France,Male,56,9,0.0,2,1,1,169498.61
6993,639,France,Female,35,1,103015.12,2,1,1,139094.12
1321,724,France,Male,40,6,0.0,2,0,0,106149.48
1609,619,France,Female,35,8,132292.63,1,1,0,65682.93
6781,850,France,Female,42,3,0.0,2,1,1,176883.42
4305,692,France,Female,31,2,0.0,2,1,0,91829.17
1359,431,France,Male,37,0,120764.08,1,1,1,117023.08
330,656,France,Male,50,7,0.0,2,0,1,72143.44
1965,612,France,Female,33,9,0.0,1,0,0,142797.5
863,717,France,Male,53,6,0.0,2,0,1,97614.87
8913,496,France,Male,31,5,0.0,2,1,0,93713.13
7212,711,France,Female,25,5,190066.54,1,0,0,51345.39
6048,707,France,Female,36,6,0.0,1,0,0,98810.78
208,643,France,Male,45,5,0.0,1,1,0,142513.5
8444,792,France,Female,70,3,0.0,2,1,1,172240.27
7524,660,France,Female,40,8,167181.01,1,1,1,185156.94
884,515,France,Male,65,7,92113.61,1,1,1,142548.33
5529,691,France,Male,34,8,133936.04,2,1,0,91359.79
6473,798,France,Male,22,8,0.0,2,1,0,107615.43
612,605,France,Female,64,2,129555.7,1,1,1,13601.79
1804,552,France,Male,33,5,140931.57,1,0,1,10921.5
454,758,France,Female,39,6,127357.76,1,0,1,56577.0
2150,668,France,Male,38,10,86977.96,1,0,1,37094.75
7815,583,France,Male,38,8,0.0,1,1,0,47848.56
4231,628,France,Male,36,3,0.0,2,1,1,8742.91
6094,589,France,Female,31,10,110635.32,1,1,0,148218.86
4619,708,France,Female,47,0,126589.12,2,0,1,132730.07
526,701,France,Male,43,2,0.0,2,1,1,165303.79
8836,850,France,Male,43,7,0.0,2,1,1,173851.11
7221,625,France,Male,41,6,97663.16,2,1,0,57128.78
6635,666,France,Female,59,5,0.0,2,1,1,185123.09
9805,644,France,Male,33,7,174571.36,1,0,1,43943.09
3657,731,France,Male,30,7,0.0,2,1,1,184581.68
8119,704,France,Male,31,5,132084.66,3,1,1,54474.48
3272,728,France,Female,59,4,0.0,1,1,1,163365.85
1069,844,France,Male,40,7,113348.14,1,1,0,31904.31
769,531,France,Female,63,1,114715.71,1,0,1,24506.95
3883,519,France,Male,39,1,97700.02,1,1,1,30709.03
9212,673,France,Female,37,10,0.0,2,1,1,37411.35
5352,695,France,Female,23,1,0.0,2,1,1,141756.32
170,484,France,Female,29,4,130114.39,1,1,0,164017.89
3559,650,France,Female,64,7,142028.36,1,1,0,32275.09
8350,556,France,Male,38,2,114756.14,1,1,0,193214.05
5761,710,France,Female,31,3,0.0,2,1,1,112289.06
5028,478,France,Female,38,4,171913.87,1,1,0,51820.87
9919,688,France,Male,26,0,0.0,2,1,0,105784.85
3865,623,France,Male,40,6,0.0,2,1,1,66119.07
9366,736,France,Female,36,6,0.0,1,1,0,70496.66
5870,632,France,Male,43,2,100013.51,1,1,0,24275.32
9985,659,France,Male,36,6,123841.49,2,1,0,96833.0
3215,726,France,Female,32,8,0.0,2,0,0,185075.63
4822,745,France,Female,32,2,0.0,4,0,1,179705.13
9970,518,France,Male,42,7,151027.05,2,1,0,119377.36
2405,685,France,Male,35,9,0.0,1,1,0,167033.83
2750,481,France,Female,57,9,0.0,3,1,1,169719.35
5741,709,France,Male,42,9,118546.71,1,0,1,77142.85
7649,715,France,Female,31,3,110581.29,1,1,1,94715.24
7820,666,France,Male,40,5,0.0,2,1,0,147878.05
861,548,France,Female,32,2,172448.77,1,1,0,188083.77
7787,627,France,Female,57,9,0.0,2,1,1,107712.42
5361,589,France,Male,46,9,0.0,2,1,0,170676.67
4951,658,France,Male,20,7,0.0,2,0,0,187638.34
2680,625,France,Female,39,5,0.0,2,1,0,32615.21
8860,808,France,Male,24,4,122168.65,1,1,0,174107.04
694,796,France,Female,45,2,109730.22,1,1,1,123882.73
4847,534,France,Female,23,5,104822.45,1,0,1,160176.47
3059,631,France,Female,33,8,0.0,2,0,0,117374.22
7359,666,France,Male,36,4,120165.4,2,1,0,33701.5
990,655,France,Male,37,5,93147.0,2,1,0,66214.13
5451,663,France,Male,43,4,87624.03,2,1,0,149401.33
3250,611,France,Male,58,8,0.0,2,0,1,107665.68
6108,507,France,Male,41,3,58820.32,2,1,1,138536.09
9996,516,France,Male,35,10,57369.61,1,1,1,101699.77
9252,451,France,Female,31,7,140931.82,1,0,1,20388.77
1608,574,France,Female,39,2,122524.61,2,1,0,88463.63
445,748,France,Female,26,1,77780.29,1,0,1,183049.41
5114,678,France,Male,60,8,185648.56,1,0,0,192156.54
5330,616,France,Male,29,9,0.0,1,1,1,166984.44
804,850,France,Male,39,4,127771.35,2,0,1,151738.54
6698,725,France,Female,31,6,0.0,1,0,0,61326.43
5033,536,France,Female,61,8,65190.29,1,1,1,64308.49
2800,769,France,Male,51,9,156773.78,2,1,0,40257.79
9911,682,France,Male,44,3,115282.3,1,0,0,23766.4
5708,655,France,Female,60,3,0.0,2,1,1,86981.45
6263,445,France,Male,37,3,0.0,2,1,1,180012.39
853,653,France,Female,43,6,0.0,2,1,1,7330.59
741,546,France,Male,24,8,156325.38,1,1,1,125381.02
8939,772,France,Male,34,9,0.0,2,1,0,170980.86
8314,643,France,Male,33,4,0.0,2,1,1,152992.04
2357,592,France,Female,38,4,0.0,2,1,0,35338.96
3138,756,France,Male,60,2,0.0,1,1,1,166513.49
5071,676,France,Male,35,5,106836.67,2,1,0,84199.78
9637,790,France,Female,31,2,151290.16,1,1,1,172437.12
117,506,France,Female,41,1,0.0,2,1,0,31766.3
7133,743,France,Female,30,1,127023.39,1,1,1,138780.89
9060,685,France,Female,33,1,0.0,3,0,1,70221.13
9913,718,France,Female,44,1,133866.22,1,0,1,139049.24
3459,773,France,Female,40,10,0.0,2,0,1,69303.15
2011,570,France,Male,32,9,117337.54,2,0,1,62810.91
9759,627,France,Female,27,2,0.0,2,1,0,125451.01
8093,584,France,Male,47,5,0.0,2,1,0,89286.29
5016,501,France,Female,29,8,0.0,2,1,0,112664.24
2204,509,France,Male,31,3,0.0,2,1,0,15360.91
3188,801,France,Female,32,4,75170.54,1,1,1,37898.5
6762,639,France,Male,37,5,98186.7,1,0,1,173386.95
3767,769,France,Male,29,4,145471.37,1,1,0,188382.77
3019,577,France,Male,29,7,0.0,2,1,1,55473.15
8720,711,France,Female,28,8,0.0,2,0,0,105159.89
2548,524,France,Male,50,4,0.0,2,1,1,31840.59
2886,449,France,Female,37,6,0.0,2,1,0,82176.48
